N,P,K,ph,moisture,organic_carbon,soil_quality
61,8,14,4.72,29,0.35,Bad
24,36,54,5.6,57,0.62,Bad
81,37,59,7.47,51,0.93,Good
70,53,32,8.19,16,0.47,Bad
30,30,42,4.62,24,0.51,Bad
92,21,52,4.5,66,0.87,Bad
96,43,32,5.52,18,0.39,Bad
84,27,54,7.91,13,1.15,Bad
84,36,56,7.57,40,0.39,Bad
97,56,54,5.86,32,0.95,Bad
33,19,5,4.51,15,1.0,Bad
12,17,7,6.72,37,0.57,Bad
31,6,19,5.45,21,0.36,Bad
62,23,56,7.48,56,0.37,Bad
11,28,14,6.29,60,1.19,Bad
97,49,25,7.21,67,0.93,Bad
39,28,41,7.91,31,0.65,Bad
47,15,19,6.64,33,0.46,Bad
11,26,27,5.84,43,0.22,Bad
73,19,18,7.58,69,0.87,Bad
69,14,19,5.56,28,1.16,Bad
30,45,14,8.07,33,0.31,Bad
42,31,13,4.79,29,0.95,Bad
85,13,48,7.84,61,0.35,Bad
67,56,43,4.87,43,0.99,Bad
31,32,9,4.72,56,0.57,Bad
98,5,29,5.95,36,0.91,Bad
58,21,46,8.33,67,1.13,Bad
68,35,30,8.43,53,0.82,Bad
51,48,12,5.31,38,1.12,Bad
69,14,26,5.09,10,0.44,Bad
89,41,56,5.91,64,1.18,Bad
24,33,29,5.85,55,1.07,Bad
71,22,52,7.54,45,0.31,Bad
71,51,16,6.28,63,0.61,Bad
56,42,13,7.62,65,1.13,Bad
71,43,14,7.49,52,0.28,Bad
60,53,52,6.81,48,0.65,Good
64,10,14,7.83,54,0.92,Bad
73,44,13,5.28,55,0.23,Bad
12,16,30,5.15,16,0.95,Bad
60,57,39,7.5,63,0.56,Bad
16,18,31,5.48,52,0.45,Bad
30,48,35,4.51,29,0.78,Bad
82,59,23,8.15,29,0.74,Bad
48,14,47,6.99,34,1.07,Bad
27,58,42,6.28,52,0.88,Bad
13,24,10,7.4,30,0.62,Bad
98,19,19,5.83,18,0.85,Bad
69,35,33,8.31,36,0.95,Bad
23,11,51,4.77,37,1.14,Bad
18,45,49,7.06,34,0.9,Bad
99,14,58,7.61,45,0.74,Bad
62,14,9,6.38,43,0.57,Bad
11,52,18,7.52,11,1.09,Bad
93,43,57,8.21,66,0.99,Bad
69,32,6,7.48,18,0.28,Bad
80,34,27,5.74,28,0.9,Bad
53,41,48,6.75,24,0.74,Good
17,59,56,8.15,62,0.3,Bad
56,7,50,6.3,30,0.76,Bad
44,54,23,7.23,59,0.39,Bad
87,47,28,6.36,25,0.91,Bad
90,19,24,4.99,11,0.48,Bad
45,25,51,4.73,35,0.35,Bad
59,56,31,8.31,53,0.28,Bad
13,41,56,6.95,38,0.69,Bad
